24,36723,Wed,20,1
16,492,Wed,20,1
3,3505,Wed,20,6
11,3505,Wed,20,31
15,958,Wed,20,1
10,78,Thu,01,2
16,817,Wed,20,1
12,521837,Wed,17,25
25,55542,Wed,20,50
10,2127,Wed,20,1
21,1514857,Wed,20,31
23,14925,Wed,19,5
18,2376,Wed,20,4
13,3208312,Wed,21,6
24,571,Wed,19,3
15,5721,Wed,21,6
13,26466,Wed,20,3
14,337,Wed,21,1
19,2557,Wed,21,1
13,128632,Tue,20,63
18,3603615,Wed,20,69
15,863,Wed,21,1
14,64363,Wed,20,5
18,16283,Wed,20,57
16,4020751,Wed,20,94
13,753,Wed,20,1
21,10411,Wed,20,86
7,688,Wed,14,6175
17,490151,Wed,19,345
12,3177,Wed,21,1
16,109,Wed,19,19
19,21316,Wed,21,1
14,1988341,Wed,20,93
17,2276,Wed,19,3
23,18552,Wed,20,2
9,15203,Wed,21,1
23,109,Wed,20,4
10,5722,Wed,20,13
15,1996,Wed,21,1
13,1988348,Wed,20,46
15,1982786,Wed,20,105
17,939865,Wed,20,109
8,414418,Wed,20,46
18,4020760,Wed,20,74
16,21028,Tue,23,41
12,673212,Wed,20,192
6,227314,Wed,20,10
20,10633342,Wed,20,431
5,692156,Tue,23,4522
14,1046680,Wed,21,67
15,1996,Wed,21,2
7,426456,Tue,23,1110
4,15688,Wed,21,2
6,1718,Wed,21,1
19,102068,Wed,20,20
6,1718,Wed,21,2
6,1718,Wed,21,2
17,19859,Wed,21,2
12,292,Wed,21,1
17,648249,Wed,21,4
7,691,Wed,14,6357
16,6,Wed,20,2
23,2661,Wed,21,1
17,5689,Wed,21,1
20,169616,Fri,22,75
17,5690,Wed,21,3
16,6384,Wed,17,2
18,6384,Wed,20,2
19,3177,Wed,20,1
13,518,Wed,12,1
15,3177,Wed,21,1
22,597,Wed,20,1
21,169616,Mon,23,102
10,65,Wed,21,1
6,106,Wed,04,1
3,133967,Tue,11,825
26,589,Wed,21,1
8,6458,Wed,21,1
7,293241,Wed,21,19
12,17959,Wed,20,2
17,366347,Wed,20,133
6,810,Wed,21,9
8,2062,Wed,18,5
19,54231,Wed,19,33
23,590,Wed,18,1
12,17959,Wed,20,3
18,528,Wed,21,1
12,34634,Wed,21,5
15,11701,Wed,21,1
3,133970,Tue,11,837
12,21670,Wed,21,16
15,92623,Wed,21,6
16,13,Wed,21,2
26,2822602,Tue,02,2277
6,106,Wed,04,2
18,2677,Wed,21,1
9,843,Tue,13,1
22,204,Tue,13,1
4,78,Wed,21,1
5,139,Wed,21,1
19,82077,Wed,20,86
17,34699,Wed,21,7
16,25421,Wed,20,48
10,286896,Wed,21,7
13,6903,Wed,21,1
18,2377,Wed,20,8
19,44535,Wed,04,211
21,54048,Wed,18,4
10,291066,Wed,14,151
18,2262,Wed,20,3
8,1583,Wed,21,1
7,413,Wed,21,1
7,3263,Wed,07,2
8,676,Wed,20,1
29,7060,Wed,19,9
13,6903,Wed,21,2
12,27582,Wed,03,2077
20,6751,Wed,17,3
4,519,Tue,03,4
8,291069,Tue,19,450
7,718086,Wed,21,37
16,216,Wed,16,3
24,94209,Wed,21,4
11,310622,Wed,21,27
18,56782,Wed,21,1
1,344373,Tue,18,122
11,831,Wed,19,2
14,3912,Wed,21,2
16,9305,Mon,16,7
9,977,Wed,21,1
9,977,Wed,21,1
5,232,Wed,21,1
20,1514,Mon,17,2
5,232,Wed,21,2
16,1514,Thu,16,4
21,485,Wed,19,4
14,3912,Wed,21,4
15,18554,Wed,21,1
15,18554,Wed,21,2
26,1656,Wed,13,1
7,6419,Wed,21,6
22,621,Wed,21,1
23,274753,Wed,13,36
9,4162,Wed,21,1
16,105000,Wed,21,4
19,2913329,Wed,21,72
20,361512,Wed,21,26
19,2913330,Wed,21,90
9,978,Wed,21,3
16,724,Wed,21,2
18,1496,Wed,21,2
9,16259,Wed,21,5
5,1035,Wed,21,1
16,54989,Wed,21,1
8,1140,Wed,11,1
12,311085,Wed,19,99
3,603,Wed,21,1
17,396,Wed,21,1
10,3655730,Wed,20,43
23,29,Wed,21,1
6,242,Wed,21,1
9,389308,Wed,21,8
8,928,Wed,20,1
21,1449,Wed,21,1
11,3551,Wed,20,110
17,71,Wed,21,1
14,170,Wed,21,1
17,396,Wed,21,2
17,2886,Wed,04,10
21,2886,Wed,03,3
18,2886,Wed,03,5
14,1854,Wed,21,1
6,107,Wed,04,5
10,905,Thu,17,1
6,874,Wed,19,1
11,67575,Wed,21,5
13,21031,Tue,03,1073
18,56,Wed,19,1
9,4162,Wed,21,2
8,875,Wed,21,7
19,662,Wed,21,4
18,2033,Wed,21,1
14,933,Wed,02,1
18,56,Wed,19,2
24,11744,Wed,21,1
12,21671,Wed,21,20
18,1982869,Wed,21,121
9,90643,Sat,06,30
20,310061,Wed,21,8
17,17130,Wed,18,1
4,2677,Wed,21,1
12,298,Wed,02,1
20,1219528,Wed,20,122
21,90644,Wed,02,14
22,1219528,Wed,20,65
19,90643,Sat,04,23
13,7033141,Wed,21,11
8,6166,Wed,21,1
22,12073,Wed,20,13
14,90646,Thu,17,19
24,12988,Wed,21,8
7,787,Wed,21,1
8,219018,Wed,21,5
25,364,Wed,19,5
22,22661,Wed,18,6
4,2677,Wed,21,3
9,923,Wed,21,2
9,923,Wed,21,4
7,556,Wed,20,2
23,808,Wed,21,1
11,643,Wed,16,1
13,5689,Wed,21,5
16,3921,Wed,21,2
15,19417,Wed,21,2
16,6350,Wed,20,1
15,6464,Wed,21,3
19,1720,Wed,20,2
5,3602776,Wed,21,97
16,16557,Wed,21,10
13,1264593,Wed,20,382
6,558,Wed,21,1
5,448570,Sat,21,4530
15,18558,Wed,21,10
13,6904,Wed,21,4
24,287,Wed,21,2
18,2377,Wed,20,9
19,1258093,Wed,21,36
13,863,Wed,21,1
6,74687,Wed,00,440
6,558,Wed,21,2
20,521849,Mon,21,103
24,1562,Wed,21,1
9,173768,Wed,00,40241
19,1994427,Sat,19,10792
15,29954,Wed,00,7
11,352,Wed,18,1
8,709,Wed,21,3
19,3957,Wed,21,1
17,612,Wed,21,1
14,120927,Wed,21,47
11,352,Wed,18,2
11,360,Wed,21,2
13,4964716,Wed,18,3754
17,1982905,Wed,21,96
23,30,Wed,21,2
16,725,Wed,21,4
6,45087,Fri,22,1252
6,713212,Wed,21,1227
17,54047,Wed,22,1
20,17980,Wed,21,6
21,1588939,Wed,22,111
13,1133,Tue,02,5
14,3912,Wed,21,5
18,14821,Wed,22,1
17,35544,Wed,22,1
6,4645,Wed,22,1
9,13581,Wed,19,1
17,612,Wed,21,2
24,4645,Wed,14,1
16,3655811,Wed,21,58
6,399,Wed,22,1
6,486,Wed,21,2
16,275,Wed,20,1
9,4162,Wed,21,3
23,183,Tue,23,3
16,1881808,Wed,18,1253
16,1199012,Wed,21,21
4,939316,Wed,20,89
13,1562,Wed,22,1
14,3030,Wed,21,3
15,2071,Wed,22,1
19,16184,Wed,21,5
16,3185,Wed,21,1
13,1562,Wed,22,2
18,23954,Wed,22,4
17,43448,Wed,18,99
23,2661,Wed,21,2
11,667607,Wed,22,16
11,2387437,Wed,22,14
20,713282,Wed,18,2
10,441724,Wed,22,21
9,1779,Wed,21,31
10,73006,Wed,22,16
17,3890366,Wed,22,17
20,13513,Wed,22,1
14,9016,Wed,22,3
15,425,Wed,22,1
17,71,Wed,21,2
12,292,Wed,21,2
16,4484974,Wed,21,133
22,1562,Wed,22,1
22,1562,Wed,22,3
15,367,Wed,22,1
4,3253,Wed,22,6
25,673308,Wed,19,4255
13,3655,Sat,22,1
8,260946,Wed,21,146
20,2263,Wed,19,5
15,1449,Wed,22,1
7,1717,Wed,22,8
14,232,Wed,19,1
13,132,Wed,22,1
10,1505360,Wed,22,327
9,484,Wed,22,1
7,3010,Wed,19,5
13,18391,Wed,22,4
9,16498,Wed,22,2
5,270319,Wed,22,277
23,264,Wed,22,1
15,2440208,Wed,22,795
2,1686455,Wed,21,758
24,697,Wed,22,1
9,128655,Wed,21,30
4,96044,Wed,22,14
10,1430613,Tue,15,541
15,13172,Wed,22,3
12,1381388,Wed,21,416
11,63,Wed,22,1
2,1686458,Wed,21,784
9,249361,Tue,01,932
17,801,Wed,21,1
8,6165,Wed,21,2
19,81575,Wed,22,143
11,63,Wed,22,3
21,6165,Wed,16,3
10,2913,Wed,22,4
7,1283419,Wed,20,283
11,547,Wed,20,1
15,2111655,Wed,20,993
26,5065,Wed,21,8
20,249407,Sat,22,1436
9,128661,Wed,21,32
10,392,Wed,22,1
10,392,Wed,22,2
16,1440,Wed,22,1
8,698,Wed,22,1
6,1382891,Wed,21,295
12,2507,Wed,16,23
17,728,Wed,22,1
9,4161,Wed,21,4
16,744,Wed,21,1
13,139,Wed,22,1
15,1449,Wed,22,2
7,42295,Mon,22,6472
23,1640,Wed,22,1
20,169632,Wed,22,1
15,4098,Wed,17,16
20,169634,Wed,22,2
20,169633,Wed,22,3
20,169634,Wed,22,6
17,131019,Wed,17,52
8,248292,Wed,22,20
20,169633,Wed,22,7
